site_id,site_name,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
45,Trane,Trane,,2000,,95677,Rocklin,CA,11,3B,"Warehouse, office",Warehouse,,25000,,319.23,Ten constant volume RTUÕs each with 2 stage compressors,,,,,"Precool, reset thermostat",,,,"CDB10, CDB11",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
46,LimeAmps,LimeAmps,,1990,,95401,Santa Rosa,CA,2,3C,Convenience store,Retail,,3531,,33.83,2 single stage constant volume 4 ton units; compressors at ground level,,,,,"Duty cycle HVAC, deli counter, and ice machine",,,,"CDA12, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
47,LimeAmps Sebastopol,LimeAmps,,1990,,95472,Sebastopol,CA,1,4C,Restaurant,Restaurant,,4200,,44.79,3 packaged units: Two 5 ton units and one 4 ton unit,,,,,"Duty cycle HVAC, walk_in cooler",,,,"CDA12, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
48,Our Home Spaces,,,1990,,94945,Novato,CA,2,3C,Small office,Office,,800,,6.09,,,,,,Reset thermostat,,,,CDB10,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
49,InThrMa,,,1990,,94565,Pittsburg,CA,12,3B,Pre-school,School,,18250,,56.96,2 constant volume units,,,,,"Reset thermostats,
duty cycle appliances",,,,"CDB10, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
50,Lutron,Lutron,,1990,,94612,Oakland,CA,3,3C,Small office,Office,,20000,,71.38,,,,,,Reduce lighting levels by zones,,,,CDA40,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
51,Enmetric,Enmetric,,1990,,94303,Palo Alto,CA,4,3C,Small office,Office,,13000,,25.84,,,,,,Control MELs (plug loads),,,,CDA30,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
52,EnergyETC,EnergyETC,,1993,,94587,Union City,CA,3,3C,Small office,Office,,2200,,6.59,One constant volume single compressor RTU,,,,,Reset thermostat,,,,CDB10,OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
53,Applied Power Technologies,Applied Power Technologies,,1974,,95008,Campbell,CA,4,3C,Small office,Office,,2070,,18.24,"2 RTUÕs rated 20A and 16A, respectively",,,,,"Reduce lighting levels by zone, reset
thermostat",,,,"CDB10, CDA40",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
54,HD Supply,,,1990,,93901,Salinas,CA,3,3C,"Food warehouse, small retail",Retail,,6000,,25.83,,,,,,"Reset thermostat, duty cycle freezers,
control MELs",,,,"CDB10, CDA30",OAT_MA,"Page, Janie, Sila Kiliccote, Han Dudley, Mary Ann Piette, Albert K. Chiu, Bashar Kellow, Ed Koch, and Paul Lipkin Akuacom. 2011. Automated Demand Response Technology Demonstration for Small and Medium Commercial Buildings."
55,NetApp,NetApp,,2013,,94089,Sunnyvale,CA,4,3C,data center,DataCenter,,101355,,,,,,,,Space HVAC setpoints are raised to 78*F from 75*F. 50% of lights are turned off (and kept off by programming).,,,,"CDB10, CDA40",OAT_MA,"Ghatikar, G., Piette, M. A., Fujita, S., McKane, A., Dudley, J. H., Radspieler, A., É Shroyer, D. (2009). Demand Response and Open Automated Demand Response Opportunities for Data Centers. https://doi.org/10.2172/981725"
56,LBNL 50B,,concrete,1990,2012,94720,Berkeley,CA,3,3C,data center,DataCenter,,5000,,550.00,NetApp,SDSC,UC Berkeley,,,"Server and CRAC unit shutdown
Load Shifting or Queuing IT jobs Ð Server idling
Temperature set point adjustment
Shutdown and idling of IT storage clusters",,,,"CDB10, CDA30",10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
57,San Diego Supercomputer Center,SDSC,,1985,,92037,La Jolla,CA,7,3B,,DataCenter,,19000,,2300.00,42%,28%,40%,,,Load migration between heterogeneous systems.,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
