site_name,Baseline,DR-Event-Day,DR-StartTime,DR-EndTime,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
"Alameda County Water District, Headquarter",,10/6/05,15:00,18:00,47.00,28.00,,0.19,0.12,,1.06,0.63,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,10/13/05,12:00,15:00,73.00,53.00,,0.31,0.21,,1.66,1.20,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,10/13/05,15:00,18:00,83.00,66.00,,0.29,0.24,,1.89,1.49,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,10/25/05,12:00,15:00,77.00,69.00,,0.35,0.30,,1.76,1.57,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Alameda County Water District, Headquarter",,10/25/05,15:00,18:00,66.00,57.00,,0.30,0.26,,1.50,1.29,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,9/29/05,12:00,15:00,132.00,22.00,,0.03,0.00,,0.21,0.04,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,9/29/05,15:00,18:00,291.00,184.00,,0.06,0.04,,0.47,0.30,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,10/13/05,12:00,15:00,-30.00,-89.00,,-0.01,-0.02,,-0.05,-0.14,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,10/13/05,15:00,18:00,219.00,111.00,,0.04,0.02,,0.35,0.18,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,10/25/05,12:00,15:00,461.00,279.00,,0.09,0.06,,0.75,0.45,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",,10/25/05,15:00,18:00,552.00,291.00,,0.11,0.06,,0.90,0.47,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Chabot Space and Science Center, Building 1&2",,9/22/05,12:00,15:00,-23.00,-38.00,,-0.10,-0.18,,-0.27,-0.44,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
