site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
Alameda County Water,field-testing,,,9/29/05,15:00,18:00,,72,57,,0.23,0.19,,1.63,1.29,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/6/05,12:00,15:00,,74,55,,0.31,0.22,,1.69,1.25,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/6/05,15:00,18:00,,47,28,,0.19,0.12,,1.06,0.63,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/13/05,12:00,15:00,,73,53,,0.31,0.21,,1.66,1.2,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/13/05,15:00,18:00,,83,66,,0.29,0.24,,1.89,1.49,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/25/05,12:00,15:00,,77,69,,0.35,0.3,,1.76,1.57,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
Alameda County Water,field-testing,,,10/25/05,15:00,18:00,,66,57,,0.3,0.26,,1.5,1.29,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,9/29/05,12:00,15:00,,132,22,,0.03,0,,0.21,0.04,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,9/29/05,15:00,18:00,,291,184,,0.06,0.04,,0.47,0.3,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,10/13/05,12:00,15:00,,-30,-89,,-0.01,-0.02,,-0.05,-0.14,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,10/13/05,15:00,18:00,,219,111,,0.04,0.02,,0.35,0.18,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,10/25/05,12:00,15:00,,461,279,,0.09,0.06,,0.75,0.45,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Bank of America, Concord Technology Center",field-testing,,,10/25/05,15:00,18:00,,552,291,,0.11,0.06,,0.9,0.47,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Chabot Space and Science Center, Building 1&2",field-testing,,,9/22/05,12:00,15:00,,-23,-38,,-0.1,-0.18,,-0.27,-0.44,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Chabot Space and Science Center, Building 1&2",field-testing,,,9/22/05,15:00,18:00,,19,-16,,0.11,-0.07,,0.22,-0.18,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Chabot Space and Science Center, Building 1&2",field-testing,,,9/29/05,12:00,15:00,,31,2,,0.1,0,,0.35,0.02,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
"Chabot Space and Science Center, Building 1&2",field-testing,,,9/29/05,15:00,18:00,,88,32,,0.28,0.03,,1.02,0.37,,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
